name,arch,n_keys,n_experts,expert_dim,n_heads,top_k,lambda_aux,router_split,unif_mode,activation,seed,task,n_params,grok_step,final_train_acc,final_test_acc,final_train_loss,final_test_loss,wall_time_s,subdir,tt_rank,tucker_rank,dead_frac_1,dead_frac_2,route_entropy_1,route_entropy_2
moe_hd_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_hd,32,1024,8,4,4,0.001,natural,token,relu,2,single,119584,7900,1.0,0.9996084573218481,0.004732832719575991,0.011095979013943354,287.98634004592896,runs,16,32,0.0,0.0,1.3313743996726606,1.2994748174336646
moe_hd_n4_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_hd,4,16,8,4,4,0.001,natural,token,relu,0,single,14948,3000,0.9945178658835047,0.9698512137823023,0.5373645336209006,0.6634796787820576,131.09589457511902,runs,16,32,0.0,0.0,1.0604612200866432,0.9972906522747493
moe_hd_n4_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_hd,4,16,8,4,4,0.001,natural,token,relu,1,single,14948,3300,0.996769456681351,0.9815974941268598,0.5434557167385585,0.6667181745393256,128.73127341270447,runs,16,32,0.0,0.0,1.0683027123385433,0.9856134656732407
moe_hd_n4_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_hd,4,16,8,4,4,0.001,natural,token,relu,2,single,14948,2600,0.998923152227117,0.9913860610806577,0.44250818104120776,0.5394346376088978,128.48675537109375,runs,16,32,0.0,0.0,0.9925145172449181,1.019178844682014
moe_hd_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk0_s0,moe_hd,64,4096,8,4,4,0.001,natural,token,relu,0,single,239168,-1,1.0,0.08966327329678934,3.754743468335488e-05,13.23028368490603,414.68076395988464,runs,16,32,0.0,0.0,0.7338579383375539,0.7279855903485749
moe_hd_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_hd,64,4096,8,4,4,0.001,natural,token,relu,0,single,239168,17600,1.0,0.9996084573218481,0.0006746507892991419,0.006531405467583784,450.10180020332336,runs,16,32,0.0,0.0,1.3422672535055105,1.3127798680477185
moe_hd_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_hd,64,4096,8,4,4,0.001,natural,token,relu,1,single,239168,26100,1.0,0.9913860610806577,0.0054954401838738605,0.06727218926653045,450.56299591064453,runs,16,32,0.0,0.0,1.335989025673727,1.3109343811100582
moe_hd_n64_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_hd,64,4096,8,4,4,0.001,natural,token,relu,2,single,239168,-1,0.9998042094958395,0.9201252936570086,0.013552636862151248,0.30312809238418903,450.88970041275024,runs,16,32,0.0,0.0,1.328633779310211,1.3079956797297236
moe_hd_n8_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_hd,8,64,8,4,4,0.001,natural,token,relu,0,single,29896,4500,0.9999021047479197,0.9972592012529365,0.30583788871298334,0.4003373566510254,177.3176872730255,runs,16,32,0.0,0.0,1.2293372558570896,1.115269845761916
moe_hd_n8_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_hd,8,64,8,4,4,0.001,natural,token,relu,1,single,29896,5300,0.9998042094958395,0.9984338292873923,0.15734729738837647,0.20222075245020066,176.6851360797882,runs,16,32,0.0,0.0,1.2727408490900576,1.2527360940690944
